Date,Open,High,Low,Close,Volume,Adj Close,Month Date,
8/3/2015,121.5,122.57,92,112.760002,79152700,110.997612,,
9/1/2015,110.150002,116.889999,107.360001,110.300003,60620000,108.576057,2015/08,-0.02181628
10/1/2015,109.07,121.220001,107.309998,119.5,52797300,117.632263,2015/09,0.083408868
11/2/2015,120.800003,123.82,111,118.300003,39491000,116.949501,2015/10,-0.005804207
12/1/2015,118.75,119.860001,104.82,105.260002,43750400,104.058365,2015/11,-0.110228226
1/4/2016,102.610001,105.849998,92.389999,97.339996,70329700,96.228775,2015/12,-0.075242293
2/1/2016,96.470001,98.889999,92.589996,96.690002,42303900,96.104874,2016/01,-0.001287567
3/1/2016,97.650002,110.419998,97.419998,108.989998,35088000,108.330437,2016/02,0.127210645
4/1/2016,108.779999,112.389999,92.510002,93.739998,44805400,93.172722,2016/03,-0.13992111
5/2/2016,93.970001,100.730003,89.470001,99.860001,44903700,99.860001,2016/04,0.071772927
6/1/2016,99.019997,101.889999,91.5,95.599998,37060600,95.599998,2016/05,-0.042659753
7/1/2016,95.489998,104.550003,94.370003,104.209999,34748300,104.209999,2016/06,0.090062774
8/1/2016,104.410004,106.150002,104.410004,106.050003,74998000,106.050003,2016/07,0.017656693
